,Channel,Watch time,Stream time,Hours streamed in 2020,Daily streamtime (hours),Peak viewers,Average viewers,Followers,Followers gained,Views gained,Partnered,Mature,Language
0,xQcOW,8847081540,215010,3583.5,9.817808219178081,222720,41146,7491936,5364951,132751155,True,False,English
1,Gaules,7720563330,517155,8619.25,23.614383561643837,387315,14928,2406348,1416066,136956383,True,True,Portuguese
2,summit1g,6505033950,221550,3692.5,10.116438356164384,310998,29361,5773448,1696810,94561929,True,False,English
3,ESL_CSGO,4786942590,518580,8643.0,23.67945205479452,300575,9230,4329294,892718,128514894,True,False,English
4,NICKMERCS,4406970885,127065,2117.75,5.802054794520548,163241,34682,4981557,1691981,54622518,True,False,English
5,loltyler1,4096418850,143265,2387.75,6.541780821917809,105499,28593,4043212,1059740,67469321,True,False,English
6,ibai,4091684295,95700,1595.0,4.36986301369863,533239,42754,4899555,4106694,114612647,True,False,Spanish
7,auronplay,4053369015,51630,860.5,2.3575342465753426,191742,78507,7143069,5101415,75975467,True,False,Spanish
8,Fextralife,4009993485,175785,2929.75,8.026712328767124,68795,22811,566872,445534,720291870,True,False,English
9,Rubius,3758366400,66900,1115.0,3.0547945205479454,344676,56178,8062772,4687367,87615652,True,False,Spanish
10,TimTheTatman,3427872990,106380,1773.0,4.857534246575343,335403,32222,6042255,1729529,56882290,True,True,English
11,Asmongold,3316320495,76545,1275.75,3.495205479452055,187953,43324,1869667,549313,52747691,True,False,English
12,Tfue,3147036030,137475,2291.25,6.277397260273973,190173,22891,9911932,2429948,73128517,True,False,English
13,sodapoppin,3136184805,158025,2633.75,7.215753424657534,107432,19845,5915496,3359738,45684665,True,True,English
14,HasanAbi,3112536060,219060,3651.0,10.002739726027396,226974,14208,1038548,696043,35128890,True,False,English
15,LIRIK,2960718870,131790,2196.5,6.017808219178082,75174,22464,2710362,177286,46539266,True,False,English
16,Anomaly,2854183800,87780,1463.0,4.008219178082192,125408,32514,2591991,1441033,36164772,True,False,English
17,TheGrefg,2797431870,71850,1197.5,3.280821917808219,538444,38933,6521439,4208983,71129838,True,False,Spanish
18,alanzoka,2538944430,104220,1737.0,4.758904109589041,139777,24360,4375471,1870473,58894703,True,False,Portuguese
19,TheRealKnossi,2432015685,61020,1017.0,2.786301369863014,328945,39855,1548455,936779,31123005,True,True,German
20,풍월량 (hanryang1125),2371413705,176595,2943.25,8.063698630136987,44351,13428,535098,90603,38630141,True,False,Korean
21,Riot Games (riotgames),2351079105,78180,1303.0,3.56986301369863,654205,30072,5038812,634937,47142006,True,False,English
22,LCK_Korea,2299170720,49080,818.0,2.241095890410959,349104,46844,812673,312613,86182524,True,False,Korean
23,csgomc_ru,2273258535,131145,2185.75,5.988356164383561,364816,17333,704246,655141,75529641,True,False,Russian
24,Dota2RuHub,2271232275,166935,2782.25,7.622602739726028,103238,13605,863547,161609,69589785,True,False,Russian
25,Pestily,2234889600,136515,2275.25,6.233561643835617,226470,16370,806335,582368,29967281,True,False,English
26,CohhCarnage,2198814150,187965,3132.75,8.582876712328767,66023,11697,1329484,126778,39815294,True,False,English
27,Castro_1021,2138813655,106095,1768.25,4.844520547945206,125133,20158,2773852,613935,24468184,True,False,English
28,GamesDoneQuick,2090488575,98235,1637.25,4.485616438356164,234826,21280,1819865,154959,49832354,True,False,English
29,MontanaBlack88,2089001580,57075,951.25,2.606164383561644,170816,36600,3374561,1118097,32499850,True,True,German
30,RocketLeague,2004013905,43500,725.0,1.9863013698630136,204724,46068,2428515,1144278,77051892,True,False,English
31,ROSHTEIN,1948732350,153795,2563.25,7.022602739726027,36442,12670,462104,218282,22103995,False,True,English
32,YoDa,1946966685,144030,2400.5,6.576712328767123,132814,13517,1997159,423257,43572136,True,True,Portuguese
33,juansguarnizo,1923408060,141525,2358.75,6.462328767123288,140500,13590,2944203,2218439,31704639,True,False,Spanish
34,DrLupo,1919749845,178680,2978.0,8.158904109589042,131048,10743,4427196,679691,59385508,True,False,English
35,LEC,1912132740,57570,959.5,2.628767123287671,388794,33213,1174185,678235,33166233,True,False,English
36,shroud,1893472500,64290,1071.5,2.9356164383561643,471281,29451,8888230,1466672,51619777,True,False,English
37,Trymacs,1883494695,128205,2136.75,5.854109589041096,69222,14690,2093194,772115,30379105,True,False,German
38,LCS,1854319605,36945,615.75,1.686986301369863,241509,50191,1345966,580815,34291706,True,False,English
39,Evelone192,1825609845,67035,1117.25,3.0609589041095893,108037,27233,1271124,950334,58396890,True,False,Russian
40,Clix,1820752545,93675,1561.25,4.277397260273973,81926,19436,3092760,2247446,50119640,True,False,English
41,Mizkif,1737593715,146370,2439.5,6.683561643835616,110172,11870,1028952,635429,24439339,True,False,English
42,Symfuhny,1677642645,166605,2776.75,7.607534246575343,46532,10069,2947628,1055511,27717285,True,True,English
43,fps_shaka,1669998255,228015,3800.25,10.411643835616438,43732,7323,421095,191090,30991931,True,True,Japanese
44,dota2mc_ru,1653852750,77295,1288.25,3.5294520547945205,182869,21396,491440,175480,43801441,True,False,Russian
45,NOBRU,1636223115,70455,1174.25,3.217123287671233,293803,23223,2703098,2472631,14071155,True,False,Portuguese
46,MOONMOON,1629985590,122385,2039.75,5.588356164383562,29193,13318,1016732,147659,13826887,True,True,English
47,Gotaga,1618767000,140820,2347.0,6.4301369863013695,111251,11494,2744412,730747,42979674,True,False,French
48,Solary,1570110630,497670,8294.5,22.724657534246575,23197,3154,532725,131137,47709527,True,False,French
49,OgamingLoL,1552530510,447945,7465.75,20.454109589041096,134521,3465,555585,106409,69208200,True,False,French
50,한동숙 (handongsuk),1549398615,137820,2297.0,6.293150684931507,34442,11241,405134,32721,31415487,True,False,Korean
51,Myth,1529436450,129390,2156.5,5.9082191780821915,122552,11819,7280447,1474518,44676332,True,False,English
52,LVNDMARK,1493005860,259620,4327.0,11.854794520547944,96236,5750,438334,361377,18422588,True,False,English
53,Swagg,1465357245,138090,2301.5,6.3054794520547945,74199,10611,1255449,1072563,18071488,True,False,English
54,Fresh,1457813985,126480,2108.0,5.7753424657534245,57431,11525,3945636,2283932,29864492,True,False,English
55,NoWay4u_Sir,1444933485,150555,2509.25,6.874657534246575,39459,9596,422180,105336,23970060,True,False,German
56,Lord_Kebun,1442221950,118965,1982.75,5.432191780821918,34830,12122,446516,93648,15142634,True,False,English
57,Sardoche,1427914665,171075,2851.25,7.811643835616438,144066,8346,929065,408408,33163525,True,False,French
58,LCK,1420207680,37320,622.0,1.704109589041096,171861,38054,1049706,329046,30457424,True,False,English
59,Trainwreckstv,1414694340,143370,2389.5,6.546575342465753,82731,9866,1148045,632716,20218314,True,True,English
60,Cellbit,1413288615,105360,1756.0,4.810958904109589,103686,13413,1944877,1019647,30213894,True,False,Portuguese
61,Quin69,1411312050,176655,2944.25,8.066438356164383,22694,7988,578724,76847,19191344,True,True,English
62,pokimane,1394253495,62610,1043.5,2.8589041095890413,112160,22268,7171026,3181718,60372864,True,False,English
63,stylishnoob4,1392408915,133050,2217.5,6.075342465753424,75000,10464,457410,181327,28545411,True,False,Japanese
64,nl_Kripp,1383436815,156690,2611.5,7.154794520547945,36027,8828,1388012,50257,18620329,True,False,English
65,JLTomy,1369176045,116505,1941.75,5.3198630136986305,42079,11751,500953,281142,15889959,True,False,French
66,Gorgc,1354764555,142620,2377.0,6.512328767123288,56449,9498,433159,129394,22442012,True,True,English
67,buster,1344248475,58350,972.5,2.664383561643836,114596,23037,1579910,1421623,58713181,True,False,Russian
68,Sykkuno,1325795070,96660,1611.0,4.413698630136986,104187,13715,2617981,2201662,26741138,True,False,English
